scheme_name,category,ministry,benefits,apply_link
PM Kisan Samman Nidhi,Agriculture,MoA&FW,Rs.6000/year (3 instalments),https://pmkisan.gov.in
Ayushman Bharat – PM-JAY,Health,MoHFW,Health cover Rs.5 lakh/year,https://pmjay.gov.in
PM Awas Yojana (Gramin),Housing,MoHUA,Rs.1.2-1.3 lakh housing grant,https://pmayg.nic.in
Pradhan Mantri Ujjwala Yojana,Energy,MoPNG,Free LPG + Rs.1600 subsidy,https://pmuy.gov.in
MGNREGA,Employment,MoRD,100 days employment at min wage,https://nrega.nic.in
PM Fasal Bima Yojana,Agriculture,MoA&FW,Crop insurance 1.5-5% premium,https://pmfby.gov.in
National Scholarship Portal,Education,MoE,Scholarships Rs.5000-75000/year,https://scholarships.gov.in
PM Mudra Yojana,Finance,MoF,Loans Rs.50K-10 lakh,https://mudra.org.in
Sukanya Samriddhi Yojana,Women & Child,MoWCD,Rs.5000 in 3 instalments,https://wcd.nic.in
Atal Pension Yojana,Pension,PFRDA,Pension Rs.1000-5000/month,https://npscra.nsdl.co.in
PM Jan Dhan Yojana,Banking,MoF,Zero balance account + RuPay,https://pmjdy.gov.in
PM SVANidhi,Urban Livelihood,MoHUA,Working capital loan Rs.10000,https://pmsvanidhi.mohua.gov.in
PM Garib Kalyan Anna Yojana,Food Security,MoF,5kg grain/month free,https://dfpd.gov.in
PM Matru Vandana Yojana,Women & Child,MoWCD,Rs.5000 maternity benefit,https://wcd.nic.in
Kisan Credit Card,Agriculture,MoA&FW,4% interest loan,https://pmkisan.gov.in
